charge,id,mass,t_pos,t_vel,v_x,v_y,v_z,weight,x,y,z
1.602e-19,48,6.64e-26,1e-10,5e-11,-32.754798856437,0,0,10000000000000,0.04849999672452,0,0
1.602e-19,49,6.64e-26,1e-10,5e-11,-10.918266285487,0,0,10000000000000,0.049499998908173,0,0
1.602e-19,50,6.64e-26,1e-10,5e-11,10.918266285487,0,0,10000000000000,0.050500001091827,0,0
1.602e-19,51,6.64e-26,1e-10,5e-11,32.754798856437,0,0,10000000000000,0.05150000327548,0,0
1.602e-19,52,6.64e-26,1e-10,5e-11,54.591331427408,0,0,10000000000000,0.052500005459133,0,0
1.602e-19,53,6.64e-26,1e-10,5e-11,76.427863998365,0,0,10000000000000,0.053500007642786,0,0
1.602e-19,54,6.64e-26,1e-10,5e-11,98.264396569325,0,0,10000000000000,0.05450000982644,0,0
1.602e-19,55,6.64e-26,1e-10,5e-11,120.10092914029,0,0,10000000000000,0.055500012010093,0,0
1.602e-19,56,6.64e-26,1e-10,5e-11,141.93746171125,0,0,9999999999999.9,0.056500014193746,0,0
1.602e-19,57,6.64e-26,1e-10,5e-11,163.77399428221,0,0,10000000000000,0.057500016377399,0,0
1.602e-19,58,6.64e-26,1e-10,5e-11,185.61052685318,0,0,10000000000000,0.058500018561053,0,0
1.602e-19,59,6.64e-26,1e-10,5e-11,207.44705942413,0,0,10000000000000,0.059500020744706,0,0
1.602e-19,60,6.64e-26,1e-10,5e-11,229.2835919951,0,0,10000000000000,0.060500022928359,0,0
1.602e-19,61,6.64e-26,1e-10,5e-11,251.12012456606,0,0,10000000000000,0.061500025112012,0,0
1.602e-19,62,6.64e-26,1e-10,5e-11,272.95665713702,0,0,10000000000000,0.062500027295666,0,0
1.602e-19,63,6.64e-26,1e-10,5e-11,294.79318970798,0,0,10000000000000,0.063500029479319,0,0
1.602e-19,64,6.64e-26,1e-10,5e-11,316.62972227895,0,0,10000000000000,0.064500031662972,0,0
1.602e-19,65,6.64e-26,1e-10,5e-11,338.46625484991,0,0,10000000000000,0.065500033846625,0,0
1.602e-19,66,6.64e-26,1e-10,5e-11,360.30278742087,0,0,10000000000000,0.066500036030279,0,0
1.602e-19,67,6.64e-26,1e-10,5e-11,382.13931999183,0,0,10000000000000,0.067500038213932,0,0
1.602e-19,68,6.64e-26,1e-10,5e-11,403.97585256279,0,0,9999999999999.9,0.068500040397585,0,0
1.602e-19,69,6.64e-26,1e-10,5e-11,425.81238513375,0,0,10000000000000,0.069500042581239,0,0
1.602e-19,70,6.64e-26,1e-10,5e-11,447.64891770472,0,0,10000000000000,0.070500044764892,0,0
1.602e-19,71,6.64e-26,1e-10,5e-11,469.48545027568,0,0,10000000000000,0.071500046948545,0,0
1.602e-19,72,6.64e-26,1e-10,5e-11,491.32198284664,0,0,10000000000000,0.072500049132198,0,0
1.602e-19,73,6.64e-26,1e-10,5e-11,513.1585154176,0,0,10000000000000,0.073500051315852,0,0
1.602e-19,74,6.64e-26,1e-10,5e-11,534.99504798857,0,0,10000000000000,0.074500053499505,0,0
1.602e-19,75,6.64e-26,1e-10,5e-11,556.83158055952,0,0,10000000000000,0.075500055683158,0,0
1.602e-19,76,6.64e-26,1e-10,5e-11,578.66811313049,0,0,10000000000000,0.076500057866811,0,0
1.602e-19,77,6.64e-26,1e-10,5e-11,600.50464570145,0,0,10000000000000,0.077500060050465,0,0
1.602e-19,78,6.64e-26,1e-10,5e-11,622.34117827241,0,0,10000000000000,0.078500062234118,0,0
1.602e-19,79,6.64e-26,1e-10,5e-11,644.17771084337,0,0,10000000000000,0.079500064417771,0,0
1.602e-19,80,6.64e-26,1e-10,5e-11,666.01424341434,0,0,10000000000000,0.080500066601424,0,0
1.602e-19,81,6.64e-26,1e-10,5e-11,687.8507759853,0,0,9999999999999.9,0.081500068785078,0,0
1.602e-19,82,6.64e-26,1e-10,5e-11,709.68730855626,0,0,10000000000000,0.082500070968731,0,0
1.602e-19,83,6.64e-26,1e-10,5e-11,731.52384112722,0,0,10000000000000,0.083500073152384,0,0
1.602e-19,84,6.64e-26,1e-10,5e-11,753.36037369818,0,0,10000000000000,0.084500075336037,0,0
1.602e-19,85,6.64e-26,1e-10,5e-11,775.19690626914,0,0,10000000000000,0.085500077519691,0,0
1.602e-19,86,6.64e-26,1e-10,5e-11,797.03343884011,0,0,10000000000000,0.086500079703344,0,0
1.602e-19,87,6.64e-26,1e-10,5e-11,818.86997141107,0,0,10000000000000,0.087500081886997,0,0
1.602e-19,88,6.64e-26,1e-10,5e-11,840.70650398203,0,0,10000000000000,0.08850008407065,0,0
1.602e-19,89,6.64e-26,1e-10,5e-11,862.543036553,0,0,10000000000000,0.089500086254304,0,0
1.602e-19,90,6.64e-26,1e-10,5e-11,884.37956912395,0,0,10000000000000,0.090500088437957,0,0
1.602e-19,91,6.64e-26,1e-10,5e-11,906.21610169492,0,0,10000000000000,0.09150009062161,0,0
1.602e-19,92,6.64e-26,1e-10,5e-11,928.05263426588,0,0,10000000000000,0.092500092805263,0,0
1.602e-19,93,6.64e-26,1e-10,5e-11,949.88916683684,0,0,9999999999999.9,0.093500094988917,0,0
1.602e-19,94,6.64e-26,1e-10,5e-11,971.7256994078,0,0,10000000000000,0.09450009717257,0,0
1.602e-19,95,6.64e-26,1e-10,5e-11,993.56223197876,0,0,10000000000000,0.095500099356223,0,0
1.602e-19,96,6.64e-26,1e-10,5e-11,1015.3987645497,0,0,10000000000000,0.096500101539876,0,0
1.602e-19,97,6.64e-26,1e-10,5e-11,1037.2352971207,0,0,10000000000000,0.09750010372353,0,0
1.602e-19,98,6.64e-26,1e-10,5e-11,1059.0718296917,0,0,10000000000000,0.098500105907183,0,0
1.602e-19,99,6.64e-26,1e-10,5e-11,1080.9083622626,0,0,10000000000000,0.099500108090836,0,0
